article_id,outlet,sentence,verb_lemma,voice,agent_text,agent_category,patient_text,patient_category,hedged
fox_floyd_01_two-cops-conduct-complaints,fox,"Derek Chauvin, the Minneapolis police officer caught on camera kneeling on the neck of George Floyd as he gasped for air, has been the subject of a 10 conduct complaints and three police shootings that led to no disciplinary action during his 19 years on the job.",gasp,active,he,other,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"Chauvin, an officer who had been praised for valor during his time on the Minneapolis Police Department, was fired from the force on Tuesday along with three other officers involved in the incident: Thao, Thomas Lane, and J. Alexander Kueng.",fire,passive,Chauvin an officer who had been praised for valor during his time on the Minneapolis Police Department Thao Thomas Lane and J. Alexander Kueng,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"On Wednesday, Minneapolis Mayor Jacob Frey demanded Chauvin, the officer seen on video kneeling on Floyd's neck, be arrested.",arrest,passive,Chauvin the officer seen on video kneeling on Floyd 's neck,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"""Why is the man who killed George Floyd not in jail?""",kill,active,who,other,George Floyd,victim,False
fox_floyd_01_two-cops-conduct-complaints,fox,Frey asked.,ask,active,Frey,other,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"In 2006, he was one of five officers who responded to a stabbing at the home of Wayne Reyes, a man police claimed stabbed his friend, his girlfriend, and then threatened to kill them all with a shotgun.",respond,active,who,other,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"In 2006, he was one of five officers who responded to a stabbing at the home of Wayne Reyes, a man police claimed stabbed his friend, his girlfriend, and then threatened to kill them all with a shotgun.",claim,active,a man police,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"In 2006, he was one of five officers who responded to a stabbing at the home of Wayne Reyes, a man police claimed stabbed his friend, his girlfriend, and then threatened to kill them all with a shotgun.",kill,active,,none,them all,other,True
fox_floyd_01_two-cops-conduct-complaints,fox,"When he got out of the vehicle with the shotgun in his hand, officers fired several shots at Reyes, killing him.",fire,active,officers,police,several shots,other,False
fox_floyd_01_two-cops-conduct-complaints,fox,"When he got out of the vehicle with the shotgun in his hand, officers fired several shots at Reyes, killing him.",kill,active,,none,him,other,False
fox_floyd_01_two-cops-conduct-complaints,fox,"According to NBC News, it was unclear which officer shot first.",shoot,active,which officer,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"Later that same year, officers were responding to a domestic call when Chauvin claimed the man reached for his gun.",respond,active,officers,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"Later that same year, officers were responding to a domestic call when Chauvin claimed the man reached for his gun.",claim,active,Chauvin,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"The man was shot and wounded, though not by Chauvin.",shoot,passive,The man,civilian,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,Thao has been sued by a man who alleged Thao and two officers used excessive force during a 2014 arrest.,allege,active,who,other,Thao and two officers,police,True
